x,y,z,Yw(m)
0.5,0.5,0,7.37319e-313
0.5,1.5,0,7.37319e-313
0.5,2.5,0,7.37319e-313
0.5,3.5,0,7.37319e-313
0.5,4.5,0,7.37319e-313
0.5,5.5,0,7.37319e-313
0.5,6.5,0,7.37319e-313
0.5,7.5,0,7.37319e-313
0.5,8.5,0,7.37319e-313
0.5,9.5,0,7.37319e-313
0.5,10.5,0,7.37319e-313
0.5,11.5,0,7.37319e-313
0.5,12.5,0,7.37319e-313
0.5,13.5,0,7.37319e-313
0.5,14.5,0,7.37319e-313
0.5,15.5,0,7.37319e-313
0.5,16.5,0,7.37319e-313
0.5,17.5,0,7.37319e-313
0.5,18.5,0,7.37319e-313
0.5,19.5,0,7.37319e-313
0.5,20.5,0,7.37319e-313
0.5,21.5,0,7.37319e-313
0.5,22.5,0,7.37319e-313
0.5,23.5,0,7.37319e-313
0.5,24.5,0,7.37319e-313
0.5,25.5,0,7.37319e-313
0.5,26.5,0,7.37319e-313
0.5,27.5,0,7.37319e-313
0.5,28.5,0,7.37319e-313
0.5,29.5,0,7.37319e-313
0.5,30.5,0,7.37319e-313
0.5,31.5,0,7.37319e-313
0.5,32.5,0,7.37319e-313
0.5,33.5,0,7.37319e-313
0.5,34.5,0,7.37319e-313
0.5,35.5,0,7.37319e-313
0.5,36.5,0,7.37319e-313
0.5,37.5,0,7.37319e-313
0.5,38.5,0,7.37319e-313
0.5,39.5,0,7.37319e-313
0.5,40.5,0,7.37319e-313
0.5,41.5,0,7.37319e-313
0.5,42.5,0,7.37319e-313
0.5,43.5,0,7.37319e-313
0.5,44.5,0,7.37319e-313
0.5,45.5,0,7.37319e-313
0.5,46.5,0,7.37319e-313
0.5,47.5,0,7.37319e-313
0.5,48.5,0,7.37319e-313
1.5,0.5,0,7.37319e-313
1.5,1.5,0,1.58114
1.5,2.5,0,1.58114
1.5,3.5,0,1.58114
1.5,4.5,0,1.58114
1.5,5.5,0,1.58114
1.5,6.5,0,1.58114
1.5,7.5,0,1.58114
1.5,8.5,0,1.58114
1.5,9.5,0,1.58114
1.5,10.5,0,1.58114
1.5,11.5,0,1.58114
1.5,12.5,0,1.58114
1.5,13.5,0,1.58114
1.5,14.5,0,1.58114
1.5,15.5,0,1.58114
1.5,16.5,0,1.58114
1.5,17.5,0,1.58114
1.5,18.5,0,1.58114
1.5,19.5,0,1.58114
1.5,20.5,0,1.58114
1.5,21.5,0,1.58114
1.5,22.5,0,1.58114
1.5,23.5,0,1.58114
1.5,24.5,0,1.58114
1.5,25.5,0,1.58114
1.5,26.5,0,1.58114
1.5,27.5,0,1.58114
1.5,28.5,0,1.58114
1.5,29.5,0,1.58114
1.5,30.5,0,1.58114
1.5,31.5,0,1.58114
1.5,32.5,0,1.58114
1.5,33.5,0,1.58114
1.5,34.5,0,1.58114
1.5,35.5,0,1.58114
1.5,36.5,0,1.58114
1.5,37.5,0,1.58114
1.5,38.5,0,1.58114
1.5,39.5,0,1.58114
1.5,40.5,0,1.58114
1.5,41.5,0,1.58114
1.5,42.5,0,1.58114
1.5,43.5,0,1.58114
1.5,44.5,0,1.58114
1.5,45.5,0,1.58114
1.5,46.5,0,1.58114
