x,y,z,T(K)
0.5,0.5,0,496.814
0.5,1.5,0,490.442
0.5,2.5,0,484.072
0.5,3.5,0,477.705
0.5,4.5,0,471.341
0.5,5.5,0,464.981
0.5,6.5,0,458.627
0.5,7.5,0,452.28
0.5,8.5,0,445.94
0.5,9.5,0,439.608
0.5,10.5,0,433.286
0.5,11.5,0,426.973
0.5,12.5,0,420.672
0.5,13.5,0,414.381
0.5,14.5,0,408.103
0.5,15.5,0,401.838
0.5,16.5,0,395.586
0.5,17.5,0,389.349
0.5,18.5,0,383.125
0.5,19.5,0,376.917
0.5,20.5,0,370.723
0.5,21.5,0,364.545
0.5,22.5,0,358.383
0.5,23.5,0,352.237
0.5,24.5,0,346.107
0.5,25.5,0,339.992
0.5,26.5,0,333.894
0.5,27.5,0,327.811
0.5,28.5,0,321.744
0.5,29.5,0,315.693
0.5,30.5,0,309.657
0.5,31.5,0,303.636
0.5,32.5,0,297.629
0.5,33.5,0,291.636
0.5,34.5,0,285.656
0.5,35.5,0,279.689
0.5,36.5,0,273.735
0.5,37.5,0,267.791
0.5,38.5,0,261.859
0.5,39.5,0,255.936
0.5,40.5,0,250.023
0.5,41.5,0,244.118
0.5,42.5,0,238.221
0.5,43.5,0,232.329
0.5,44.5,0,226.444
0.5,45.5,0,220.563
0.5,46.5,0,214.685
0.5,47.5,0,208.81
0.5,48.5,0,202.936
1.5,0.5,0,496.814
1.5,1.5,0,490.442
1.5,2.5,0,484.072
1.5,3.5,0,477.705
1.5,4.5,0,471.341
1.5,5.5,0,464.981
1.5,6.5,0,458.627
1.5,7.5,0,452.28
1.5,8.5,0,445.94
1.5,9.5,0,439.608
1.5,10.5,0,433.286
1.5,11.5,0,426.973
1.5,12.5,0,420.672
1.5,13.5,0,414.381
1.5,14.5,0,408.103
1.5,15.5,0,401.838
1.5,16.5,0,395.586
1.5,17.5,0,389.349
1.5,18.5,0,383.125
1.5,19.5,0,376.917
1.5,20.5,0,370.723
1.5,21.5,0,364.545
1.5,22.5,0,358.383
1.5,23.5,0,352.237
1.5,24.5,0,346.107
1.5,25.5,0,339.992
1.5,26.5,0,333.894
1.5,27.5,0,327.811
1.5,28.5,0,321.744
1.5,29.5,0,315.693
1.5,30.5,0,309.657
1.5,31.5,0,303.636
1.5,32.5,0,297.629
1.5,33.5,0,291.636
1.5,34.5,0,285.656
1.5,35.5,0,279.689
1.5,36.5,0,273.735
1.5,37.5,0,267.791
1.5,38.5,0,261.859
1.5,39.5,0,255.936
1.5,40.5,0,250.023
1.5,41.5,0,244.118
1.5,42.5,0,238.221
1.5,43.5,0,232.329
1.5,44.5,0,226.444
1.5,45.5,0,220.563
1.5,46.5,0,214.685
1.5,47.5,0,208.81
1.5,48.5,0,202.936
